,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000000001,Gnai3,56.392,65.896,49.124,63.767,54.338,48.316,66.068,35.926,45.451,45.342
ENSMUSG00000000028,Cdc45,7.824,6.478,6.737,6.425,9.456,7.126,8.297,6.388,8.094,9.828
ENSMUSG00000000031,H19,7.269,9.055,6.598,3.623,12.351,10.308,12.045,11.42,12.976,11.869
ENSMUSG00000000037,Scml2,2.012,2.173,1.487,1.31,1.228,0.943,1.362,0.929,0.959,1.483
ENSMUSG00000000049,Apoh,0,0.025,0,0,0.051,0.025,0.054,0,0,0.075
ENSMUSG00000000056,Narf,6.941,7.37,6.558,5.226,5.763,5.792,3.365,4.557,5.879,5.958
ENSMUSG00000000058,Cav2,10.929,12.164,9.151,11.904,9.756,10.233,7.852,6.758,7.994,8.322
ENSMUSG00000000078,Klf6,19.336,16.866,16.556,14.313,13.184,16.78,28.992,13.172,15.335,16.189
ENSMUSG00000000085,Scmh1,4.531,3.937,4.156,3.779,3.699,4.656,3.808,4.211,4.107,4.4
ENSMUSG00000000088,Cox5a,13.692,12.904,14.422,17.564,23.005,17.209,23.545,15.992,19.774,18.278
ENSMUSG00000000093,Tbx2,3.201,4.985,3.477,3.816,4.572,5.502,3.384,4.822,4.973,5.543
ENSMUSG00000000094,Tbx4,0.97,1.132,0.946,0.429,0.905,1.077,0.892,0.87,1.12,1.161
ENSMUSG00000000120,Ngfr,1.272,2.975,1.615,1.67,1.119,2.161,1.044,2.325,1.297,1.863
ENSMUSG00000000126,Wnt9a,0.778,1.911,0.979,1.208,1.22,2.787,1.615,2.475,2.662,2.42
ENSMUSG00000000127,Fer,7.453,6.756,6.672,8.151,7.691,5.916,6.329,6.148,5.573,5.787
ENSMUSG00000000131,Xpo6,4.202,3.588,4.255,3.954,3.659,4.081,3.923,2.995,3.289,3.648
ENSMUSG00000000134,Tfe3,4.833,3.693,5.182,4.078,5.449,4.308,4.742,4.715,4.457,3.815
ENSMUSG00000000142,Axin2,3.109,3.798,4.224,5.385,5.47,7.239,3.307,3.795,4.2,4.469
ENSMUSG00000000148,Brat1,3.074,2.932,3.433,3.28,3.586,3.718,2.729,3.279,3.585,3.666
ENSMUSG00000000149,Gna12,20.924,20.145,20.871,21.525,23.83,23.594,21.284,18.193,25.074,25.659
ENSMUSG00000000154,Slc22a18,0.098,0.167,0.077,0.116,0.097,0.352,0.23,0.375,0.206,0.188
ENSMUSG00000000159,Igsf5,0.045,0.029,0.047,0.086,0.015,0.058,0.031,0.132,0.126,0.072
ENSMUSG00000000167,Pih1d2,0.594,0.461,0.634,0.631,0.831,0.708,0.771,0.566,0.663,0.68
ENSMUSG00000000168,Dlat,11.006,10.915,10.401,12.523,10.489,11.393,10.568,8.461,12.376,11.059
ENSMUSG00000000171,Sdhd,76.48,80.658,72.149,103.287,102.593,86.659,101.536,86.544,102.225,92.227
ENSMUSG00000000184,Ccnd2,27.489,23.474,27.778,23.172,19.977,31.241,22.993,36.097,23.704,23.332
ENSMUSG00000000194,Gpr107,4.409,4.209,4.359,4.206,4.445,3.862,4.143,4.119,3.979,4.03
ENSMUSG00000000197,Nalcn,0.305,0.444,0.409,0.344,0.115,0.33,0.268,0.288,0.147,0.224
ENSMUSG00000000202,Btbd17,0.066,0.114,0.041,0.074,0.051,0.05,0.027,0.029,0,0.025
ENSMUSG00000000204,Slfn4,2.465,2.842,1.711,1.452,0.279,1.808,0.459,1.436,2.02,1.74
ENSMUSG00000000214,Th,0.689,0.823,0.662,0.45,0.607,0.59,1.174,0.867,0.871,1.198
ENSMUSG00000000215,Ins2,0,0,0.033,0,0,0,0.033,0,0,0
ENSMUSG00000000223,Drp2,0.576,0.46,0.676,0.369,0.571,0.372,0.497,0.586,0.354,0.21
ENSMUSG00000000244,Tspan32,0.08,0.234,0.132,0.139,0.053,0.115,0.07,0.088,0.118,0.096
ENSMUSG00000000247,Lhx2,0.038,0.074,0.059,0.027,0.056,0.054,0.079,0.114,0.08,0.136
ENSMUSG00000000253,Gmpr,8.346,7.083,8.109,5.078,10.351,8.641,11.679,13.432,10.095,9.826
ENSMUSG00000000266,Mid2,2.691,2.812,2.47,2.663,1.118,1.86,1.437,1.24,1.284,1.789
ENSMUSG00000000275,Trim25,17.61,14.481,17.657,19.096,16.272,15.273,14.384,11.481,11.658,11.955
ENSMUSG00000000276,Dgke,1.399,1.851,1.503,1.462,0.978,1.353,1.525,0.945,1.107,1.174
ENSMUSG00000000278,Scpep1,61.421,75.545,66.049,96.88,81.004,87.065,48.833,57.23,82.007,81.315
ENSMUSG00000000282,Mnt,6.975,6.254,6.455,4.84,5.462,6.558,5.266,4.064,5.468,5.869
ENSMUSG00000000290,Itgb2,1.778,1.607,1.638,1.808,2.057,1.814,1.108,1.835,1.21,0.823
ENSMUSG00000000295,Hddc2,4.642,6.134,4.697,6.395,6.526,9.308,6.736,14.717,9.782,8.867
ENSMUSG00000000296,Tpd52l1,26.697,20.554,21.26,15.258,44.225,20.527,35.588,21.026,25.116,20.738
ENSMUSG00000000301,Pemt,1.528,1.541,1.694,1.705,2.204,1.912,2.576,4.349,1.884,1.763
ENSMUSG00000000303,Cdh1,1.743,2.268,1.426,0.698,1.211,4.745,1.289,2.319,3.942,3.557
ENSMUSG00000000305,Cdh4,0.414,0.715,0.425,0.103,0.187,0.192,0.185,0.094,0.123,0.242
ENSMUSG00000000308,Ckmt1,0.502,0.601,0.766,1.074,2.252,2.058,2.05,1.313,1.199,1.038
ENSMUSG00000000317,Bcl6b,1.897,3.76,2.677,2.841,1.964,2.859,1.294,1.959,2.769,2.788
ENSMUSG00000000318,Clec10a,0.864,1.16,1.26,1.401,1.26,1.003,1.555,1.445,1.528,1.623
ENSMUSG00000000320,Alox12,0.429,1.29,0.851,0.907,1.286,0.702,0.881,0.903,1.008,1.064
ENSMUSG00000000325,Arvcf,2.209,2.611,2.321,2.454,1.501,2.448,1.39,1.849,2.831,3.19
ENSMUSG00000000326,Comt,13.818,12.789,15.092,13.375,19.721,14.689,19.16,28.41,17.528,15.765
ENSMUSG00000000339,Rtca,8.017,7.976,6.937,7.801,8.053,8.133,10.539,7.871,8.372,7.954
ENSMUSG00000000340,Dbt,14.054,17.588,14.504,20.372,15.086,15.176,13.364,17.175,16.1,15.961
ENSMUSG00000000346,Dazap2,87.982,89.354,85.089,88.739,99.745,91.219,91.03,81.831,94.455,87.115
ENSMUSG00000000355,Mcts1,18.417,25.178,20.256,25.673,27.789,22.128,24.947,23.358,27.459,22.769
ENSMUSG00000000359,Rem1,1.743,2.218,1.996,2.981,5.291,3.103,1.85,2.977,2.506,2.423
ENSMUSG00000000365,Rnf17,1.273,1.519,1.081,1.317,0.853,1.06,0.926,0.937,1.095,1.239
ENSMUSG00000000374,Trappc10,9.644,8.084,9.723,9.661,6.998,8.007,7.867,5.574,6.421,7.829
ENSMUSG00000000378,Ccm2,6.412,5.848,5.87,7.851,8.842,8.755,9.082,9.053,9.424,8.854
ENSMUSG00000000384,Tbrg4,9.037,6.579,8.892,8.246,8.859,8.36,11.578,8.968,8.38,8.739
ENSMUSG00000000385,Tmprss2,0.026,0.051,0.028,0.1,0.039,0.101,0.316,0,0.037,0.038
ENSMUSG00000000386,Mx1,0.252,0.111,0.131,0.141,0.214,0.24,0.083,0.087,0.16,0.131
ENSMUSG00000000392,Fap,0.538,0.53,0.376,0.961,0.551,1.006,0.161,0.298,0.508,0.401
ENSMUSG00000000399,Ndufa9,30.582,33.872,25.637,40.607,38.238,36.825,36.627,44.553,41.305,36.651
ENSMUSG00000000402,Egfl6,2.146,5.845,2.17,5.409,1.502,11.457,1.491,6.129,7.215,6.931
ENSMUSG00000000409,Lck,1.368,1.218,1.024,1.319,1.513,1.482,1.303,1.694,1.46,1.157
ENSMUSG00000000411,Tssk3,0.098,0.063,0.068,0,0.032,0,0,0,0.061,0.031
ENSMUSG00000000416,Cttnbp2,0.553,0.863,0.67,1.036,0.344,1.078,0.54,0.567,0.519,0.727
ENSMUSG00000000420,Galnt1,24.2,28.234,23.962,29.067,25.887,28.694,26.52,22.661,25.132,26.612
ENSMUSG00000000435,Myf5,0.802,0.934,0.835,0.606,0.433,0.363,0.978,0.35,0.97,0.996
ENSMUSG00000000439,Mkrn2,2.903,3.477,2.991,3.416,2.689,3.212,2.265,2.892,3.384,3.592
ENSMUSG00000000440,Pparg,20.161,19.227,16.724,14.659,17.076,11.839,42.635,15.988,21.649,15.246
ENSMUSG00000000441,Raf1,9.289,9.064,8.599,9.239,6.024,7.865,5.377,5.6,7.165,8.447
ENSMUSG00000000486,Sept1,2.372,2.537,2.219,1.441,2.421,3.026,2.228,3.378,2.672,3.002
ENSMUSG00000000489,Pdgfb,9.057,6.583,8.313,8.85,7.776,9.88,6.939,6.319,10.775,10.345
ENSMUSG00000000530,Acvrl1,7.753,10.044,10.856,9.715,6.378,7.787,4.879,8.241,7.208,6.807
ENSMUSG00000000531,Grasp,6.969,7.087,7.408,6.13,7.786,11.315,9.046,10.404,11.217,10.499
ENSMUSG00000000532,Acvr1b,4.939,4.904,4.995,4.422,4.742,4.891,3.704,3.281,4.254,4.554
ENSMUSG00000000538,Tom1l2,10.414,7.08,9.916,6.316,7.243,7.292,5.803,7.953,7.237,8.604
ENSMUSG00000000544,Gpa33,0.167,0.103,0.063,0,0.105,0.102,0.032,0.017,0.028,0.131
ENSMUSG00000000552,Zfp385a,3.371,3.166,4.345,3.201,5.749,4.867,4.788,6.061,4.02,4.212
ENSMUSG00000000555,Itga5,6.062,7.381,7.546,9.408,19.176,9.574,18.691,6.59,8.906,6.751
ENSMUSG00000000560,Gabra2,0,0,0.006,0.021,0.011,0,0.011,0,0,0
ENSMUSG00000000561,Wdr77,7.469,6.722,6.852,7.15,8.323,7.025,12.95,7.919,7.875,7.125
ENSMUSG00000000563,Atp5f1,48.727,62.759,51.543,75.921,72.495,70.618,72.081,57.506,84.77,75.374
ENSMUSG00000000567,Sox9,0.172,0.382,0.357,0.648,0.685,0.713,0.702,0.617,0.649,0.492
ENSMUSG00000000568,Hnrnpd,19.047,14.091,17.764,13.692,20.275,17.592,23.688,15.756,17.883,18.057
ENSMUSG00000000579,Dynlt1c,49.632,65.795,64.698,103.307,66.103,85.502,48.715,67.31,66.902,58.449
ENSMUSG00000000581,C1d,12.656,16.961,11.937,17.773,17.254,16.446,15.974,13.55,19.456,16.28
ENSMUSG00000000594,Gm2a,154.477,437.642,155.964,327.4,96.835,194.333,63.839,60.807,271.834,202.103
ENSMUSG00000000600,Krit1,3.03,3.054,2.912,3.303,2.013,2.095,2.176,1.671,1.85,1.903
ENSMUSG00000000605,Clcn4,8.53,9.273,8.563,9.251,8.632,7.834,10.253,9.53,8.276,7.855
ENSMUSG00000000627,Sema4f,0.039,0.046,0.033,0.037,0.093,0.068,0.672,0.017,0.059,0.083
ENSMUSG00000000628,Hk2,4.98,4.678,5.921,10.845,6.166,7.865,7.772,5.286,4.825,5.732
ENSMUSG00000000631,Myo18a,6.727,5.83,6.883,4.944,4.513,5.152,3.742,5.175,4.234,4.548
ENSMUSG00000000632,Sez6,0.578,0.365,1.046,0.505,0.39,0.786,0.345,0.213,0.451,0.414
ENSMUSG00000000673,Haao,0.102,0.199,0.462,0.387,0.369,0.424,0.248,0.41,0.191,0.294
ENSMUSG00000000682,Cd52,4.221,4.234,6.519,7.108,8.711,6.374,5.698,11.085,6.253,4.166
ENSMUSG00000000686,Abhd15,0.413,0.294,0.301,0.286,0.162,0.131,0.286,0.45,0.218,0.263
ENSMUSG00000000690,Hoxb6,0.744,0.929,0.62,0.542,0.648,1.034,0.53,0.788,0.396,0.629
ENSMUSG00000000693,Loxl3,1.615,2.025,2.446,2.364,2.826,2.223,1.855,1.929,1.933,1.741
ENSMUSG00000000701,Tcl1b5,0.402,0.741,1.088,0.493,0.711,1.111,1.085,0.92,1.122,0.883
ENSMUSG00000000706,Btn1a1,0.021,0.031,0.011,0.03,0,0.04,0.022,0,0.01,0.041
ENSMUSG00000000708,Kat2b,12.799,13.023,12.282,13.674,10.841,10.448,8.837,8.129,9.446,9.414
ENSMUSG00000000711,Rab5b,36.251,37.736,37.514,39.824,35.51,40.801,27.922,31.133,37.586,39.021
ENSMUSG00000000730,Dnmt3l,0.727,1.044,1.106,0.488,2.444,0.866,2.293,1.402,1.21,1.108
ENSMUSG00000000731,Aire,0.36,0.222,0.511,0.165,0.161,0.385,0.193,0.667,0.305,0.24
ENSMUSG00000000732,Icosl,13.286,9.338,9.638,7.467,9.573,8.048,15.81,9.846,6.825,8.204
ENSMUSG00000000738,Spg7,9.093,10.046,9.815,10.611,10.671,10.682,6.957,9.785,11.208,11.342
ENSMUSG00000000739,Sult5a1,1.294,1.412,1.594,1.329,1.337,1.289,2.129,2.019,1.126,1.236
ENSMUSG00000000740,Rpl13,289.743,297.789,255.211,307.486,405.545,353.177,501.024,788.557,476.989,434.704
ENSMUSG00000000743,Chmp1a,21.258,21.873,19.212,23.845,26.121,25.228,22.168,22.861,27.081,25.752
ENSMUSG00000000751,Rpa1,11.878,12.053,12.049,10.736,13.674,12.686,11.27,12.268,12.06,14.091
ENSMUSG00000000753,Serpinf1,17.362,25.735,19.866,25.37,38.926,45.289,39.293,36.785,39.011,33.826
ENSMUSG00000000759,Tubgcp3,6.929,7.7,6.271,7.284,5.603,6.911,5.718,4.91,6.255,6.428
ENSMUSG00000000776,Polr3d,14.756,14.192,14.982,16.055,16.519,16.382,20.27,17.992,17.737,17.701
ENSMUSG00000000782,Tcf7,22.346,16.103,17.82,10.769,14.302,13.789,16.334,15.835,15.279,13.718
ENSMUSG00000000787,Ddx3x,138.582,141.486,107.773,138.649,83.414,91.63,166.155,67.787,76.341,75.909
ENSMUSG00000000791,Il12rb1,0.275,0.109,0.191,0.202,0.17,0.116,0.074,0.089,0.085,0.165
ENSMUSG00000000792,Slc5a5,0.043,0.055,0.074,0.027,0.084,0.014,0.118,0.031,0.053,0.041
ENSMUSG00000000794,Kcnn3,0.204,0.368,0.349,0.2,0.043,0.21,0.207,0.17,0.138,0.202
ENSMUSG00000000804,Usp32,9.04,9.493,8.717,9.98,4.867,7.077,5.877,4.695,4.6,5.862
ENSMUSG00000000805,Car4,0.021,0.103,0.044,0.1,0.042,0.547,0.154,0.533,0.376,0.426
ENSMUSG00000000811,Txnrd3,5.55,5.102,5.549,4.727,5.353,5.813,5.733,6.068,5.331,5.104
ENSMUSG00000000823,Zfp512b,11.618,8.962,10.463,8.875,5.892,7.549,5.131,6.525,5.553,6.927
ENSMUSG00000000826,Dnajc5,16.032,15.318,15.481,15.389,13.39,12.977,15.295,14.87,13.571,13.111
ENSMUSG00000000827,Tpd52l2,17.707,19.604,17.155,19.784,22.533,20.174,21.494,22.325,22.856,19.026
ENSMUSG00000000838,Fmr1,9.048,9.293,8.689,9.01,5.061,6.773,6.629,4.565,4.53,5.724
ENSMUSG00000000861,Bcl11a,2.671,1.843,2.108,1.047,1.314,1.357,1.28,1.873,1.572,1.849
ENSMUSG00000000869,Il4,2.042,2.345,2.338,1.382,2.073,1.623,1.484,2.152,2.217,2.178
ENSMUSG00000000876,Pxmp4,5.162,4.998,5.822,5.368,6.891,6.458,3.815,8.685,6.914,6.749
ENSMUSG00000000881,Dlg3,6.908,6.754,6.755,6.416,6.157,5.826,5.482,6.162,6.018,6.005
ENSMUSG00000000884,Gnb1l,1.153,0.983,0.919,0.994,1.596,1.081,1.395,1.826,1.465,1.369
ENSMUSG00000000889,Dbh,0.047,0.105,0.032,0,0,0.03,0.032,0.068,0.087,0.119
ENSMUSG00000000901,Mmp11,69.557,62.255,53.158,31.531,47.14,48.025,29.701,42.82,55.393,44.637
ENSMUSG00000000902,Smarcb1,10.535,8.841,9.572,8.661,13.065,10.133,12.241,11.425,12.262,11.742
ENSMUSG00000000903,Vpreb3,4.326,1.698,5.263,2.019,2.197,2.086,4.189,3.71,4.253,3.064
ENSMUSG00000000915,Hip1r,3.824,3.932,3.068,6.361,3.38,6.484,2.989,3.46,5.432,6.548
ENSMUSG00000000916,Nsun5,2.921,2.291,3.424,3.023,3.621,3.607,3.816,3.828,3.214,3.067
ENSMUSG00000000934,Top1mt,6.823,5.665,6.785,6.609,7.266,7.303,6.288,9.642,7.005,7.125
ENSMUSG00000000938,Hoxa10,0.102,0.05,0.093,0.121,0.477,0.146,0.159,0.111,0.131,0.195
ENSMUSG00000000942,Hoxa4,0.236,0.229,0.164,0.148,0.644,0.375,0.272,0.257,0.268,0.15
ENSMUSG00000000948,Gm38393,0.64,0.35,0.375,0.491,0.055,0.069,0.075,0.061,0.022,0.061
ENSMUSG00000000957,Mmp14,23.531,25.359,22.52,19.277,23.975,21.6,23.699,24.305,26.795,22.114
ENSMUSG00000000958,Slc7a7,4.464,3.841,3.724,2.838,1.658,1.826,2.463,1.756,4.876,3.343
ENSMUSG00000000959,Oxa1l,18.167,17.464,17.845,21.847,23.51,24.591,16.114,21.624,24.683,26.55
ENSMUSG00000000976,Heatr6,4.475,3.813,4.294,3.833,3.548,3.933,3.661,3.717,3.421,3.659
ENSMUSG00000000982,Ccl3,0.6,0.37,0.341,0,0.643,0.104,0.283,0.416,0.304,0.208
ENSMUSG00000000983,Wfdc18,0,0,0.036,0.032,0,0.033,1.599,0,0.032,0
ENSMUSG00000001016,Ilf2,10.301,9.678,10.205,10.196,13.648,10.498,14.123,15.171,11.845,11.949
ENSMUSG00000001017,Chtop,33.175,35.869,36.672,35.328,37.443,34.16,48.361,32.697,38.991,37.729
ENSMUSG00000001018,Snapin,34.968,35.837,33.564,35.328,32.323,32.847,20.882,28.371,35.265,36.134
ENSMUSG00000001020,S100a4,1.644,2.498,4.243,4.456,6.042,3.068,16.258,14.89,18.3,3.619
ENSMUSG00000001021,S100a3,0.398,0.587,0.177,0.306,0.152,0.106,0.092,0.056,0.316,0.134
ENSMUSG00000001025,S100a6,61.389,64.807,68.947,115.218,143.681,65.396,89.088,37.002,153.888,58.577
ENSMUSG00000001029,Icam2,3.289,6.322,3.151,4.721,5.301,4.685,5.009,6.719,7.287,6.744
ENSMUSG00000001034,Mapk7,5.891,5.313,6.154,4.432,5.014,5.691,5.111,5.512,6.678,6.425
ENSMUSG00000001036,Epn2,28.909,20.845,23.824,13.363,12.337,15.416,15.682,17.495,16.599,20.663
ENSMUSG00000001039,B9d1,8.649,8.523,8.269,7.548,9.736,7.699,8.056,13.49,9.49,7.46
ENSMUSG00000001052,Sec24b,12.997,11.263,12.464,9.752,8.458,8.89,9.362,7.238,9.406,9.969
ENSMUSG00000001053,N4bp3,4.76,5.244,5.641,5.55,5.324,7.138,4.704,9.262,7.85,6.008
ENSMUSG00000001054,Rmnd5b,20.788,19.373,22.411,31.179,33.683,26.184,17.274,30.38,25.141,25.724
ENSMUSG00000001056,Nhp2,47.251,57.43,45.673,90.41,88.613,82.593,92.346,167.532,112.893,86.993
ENSMUSG00000001062,Vps9d1,4.497,4.609,4.649,3.986,4.196,4.845,3.609,4.259,4.646,4.403
ENSMUSG00000001065,Zfp276,3.662,3.063,3.49,3.372,2.886,3.377,2.626,2.931,3.303,3.324
ENSMUSG00000001082,Mfsd10,10.344,9.13,10.365,9.972,12.476,12.576,11.071,14.442,13.671,13.297
ENSMUSG00000001089,Luzp1,7.936,7.284,7.503,7.115,4.906,5.522,7.557,5.427,5.169,4.714
ENSMUSG00000001095,Slc13a2,0.017,0.017,0.036,0.049,0,0,0,0,0.016,0.033
ENSMUSG00000001098,Kctd10,10.337,8.539,8.546,8.16,8.117,7.976,7.127,5.253,6.841,6.753
ENSMUSG00000001100,Poldip2,19.545,18.865,20.306,22.052,24.002,24.61,18.99,23.516,23.638,23.581
ENSMUSG00000001103,Sebox,1.843,1.879,1.759,0.609,1.902,2.198,3.509,3.953,3.26,3.169
ENSMUSG00000001105,Ift20,35.809,36.939,32.47,38.831,55.236,43.084,51.144,94.4,52.701,42.989
ENSMUSG00000001119,Col6a1,65.171,112.059,111.75,80.669,63.794,91.94,59.706,73.604,75.898,70.796
ENSMUSG00000001120,Pcbp3,1.808,2.308,1.897,2.137,4.225,2.946,3.134,2.375,2.173,2.706
ENSMUSG00000001123,Lgals9,16.04,10.999,11.596,11.401,18.163,13.696,13.288,14.572,15.567,10.898
ENSMUSG00000001127,Araf,12.925,12.856,14.449,13.11,10.877,11.981,10.519,12.55,11.217,11.675
ENSMUSG00000001128,Cfp,6.566,7.447,7.963,9.289,9.879,8.625,7.642,12.379,9.178,7.098
ENSMUSG00000001131,Timp1,122.9,80.14,92.234,45.463,540.002,42.645,288.981,127.612,220.53,35.881
ENSMUSG00000001134,Uxt,5.044,5.934,5.093,5.653,8.687,6.924,10.131,15.5,9.769,7.81
ENSMUSG00000001138,Cnnm3,4.468,3.882,4.544,3.863,4.122,4.627,2.884,2.922,3.614,4.454
ENSMUSG00000001143,Lman2l,3.994,3.618,3.539,3.964,3.351,3.317,2.798,3.7,3.422,3.788
ENSMUSG00000001150,Mcm3ap,9.734,9.436,9.073,8.235,7.426,7.818,6.454,6.941,7.1,8.604
ENSMUSG00000001151,Pcnt,9.222,7.518,9.666,6.569,5.855,7.17,3.89,5.814,5.88,7.114
ENSMUSG00000001155,Ftcd,0.026,0.089,0.014,0.049,0.013,0.1,0.081,0.029,0.037,0.037
ENSMUSG00000001156,Mxd1,3.17,2.854,3.301,1.923,2.425,2.421,1.802,2.002,2.314,2.577
ENSMUSG00000001157,Gmcl1,4.585,5.405,4.647,5.034,4.183,4.035,4.133,3.366,4.387,4.704
ENSMUSG00000001158,Snrnp27,23.455,27.577,25.914,29.209,47.597,41.988,54.801,90.065,55.83,43.09
ENSMUSG00000001166,Oas1c,7.048,7.701,6.291,3.541,9.503,7.732,11.123,14.028,10.681,11.225
ENSMUSG00000001168,Oas1h,5.541,6.877,5.157,2.222,7.18,6.313,9.547,10.587,9.334,9.039
ENSMUSG00000001173,Ocrl,7.055,6.934,7.351,7.124,6.445,6.393,4.712,4.444,4.105,4.704
ENSMUSG00000001175,Calm1,93.116,90.853,89.88,108.046,95.38,81.767,110.583,146.014,106.29,92.199
ENSMUSG00000001211,Agpat3,14.927,14.324,15.296,17.02,18.065,18.036,14.631,18.248,16.567,17.715
ENSMUSG00000001225,Slc26a3,0.079,0.095,0.027,0.019,0.013,0.019,0.041,0.036,0.012,0.038
ENSMUSG00000001227,Sema6b,1.26,1.457,1.585,1.497,1.527,2.153,1.188,1.431,1.651,1.995
ENSMUSG00000001228,Uhrf1,18.547,14.502,14.27,12.543,17.591,17.446,15.666,12.571,16.242,21.414
ENSMUSG00000001229,Dpp9,9.637,8.558,9.899,9.764,9.845,9.929,8.723,6.954,8.306,9.205
ENSMUSG00000001240,Ramp2,4.224,7.035,5.847,4.957,8.166,8.167,7.604,9.572,8.594,7.055
ENSMUSG00000001247,Lsr,4.863,6.083,5.864,9.076,7.33,8.983,6.567,4.926,8.642,7.583
ENSMUSG00000001248,Gramd1a,19.875,24.197,16.895,18.866,15.389,20.78,13.704,15.399,21.69,17.88
ENSMUSG00000001249,Hpn,0.173,0.138,0.138,0.096,0.13,0.184,0.116,0.056,0.152,0.136
ENSMUSG00000001260,Gabrg1,0,0,0.011,0,0,0,0,0.012,0,0
ENSMUSG00000001270,Ckb,51.778,42.062,47.179,47.054,55.216,39.982,62.626,62.624,56.454,49.186
ENSMUSG00000001280,Sp1,17.342,15.982,16.173,15.249,9.833,11.924,10.462,9.505,9.439,10.83
ENSMUSG00000001281,Itgb7,0.381,0.517,0.571,0.747,1.032,0.697,0.616,0.498,0.439,0.422
ENSMUSG00000001285,Myg1,8.755,7.939,8.685,9.664,11.787,11.016,11.119,17.934,10.834,11.047
ENSMUSG00000001288,Rarg,4.928,5.849,5.301,3.627,4.653,6.706,4.294,7.911,7.349,7.832
ENSMUSG00000001289,Pfdn5,87.993,93.932,75.938,98.874,112.024,120.602,123.719,215.393,146.447,126.756
ENSMUSG00000001300,Efnb2,2.065,2.725,2.594,2.065,2.849,2.039,8.266,1.063,1.797,2.501
ENSMUSG00000001305,Rrp15,7.992,8.07,7.798,9.823,11.591,10.093,16.169,9.474,10.259,9.628
ENSMUSG00000001313,Rnd2,13.91,16.272,18.198,27.598,14.268,24.832,10.283,52.048,27.478,34.667
ENSMUSG00000001323,Srr,4.312,6.15,3.966,4.522,2.897,3.589,2.073,2.836,3.801,3.62
ENSMUSG00000001333,Sync,0.219,0.453,0.425,0.276,0.301,0.209,0.515,0.223,0.272,0.125
ENSMUSG00000001334,Fndc5,7.646,11.602,6.844,10.274,12.429,19.384,11.941,22.36,23.954,19.282
ENSMUSG00000001348,Acp5,1.049,1.018,1.585,0.932,1.193,1.981,1.217,1.57,2.048,0.982
ENSMUSG00000001349,Cnn1,6.195,8.917,7.118,5.389,18.851,6.433,23.008,24.461,10.923,8.191
ENSMUSG00000001366,Fbxo9,9.149,10.318,10.353,12.68,13.791,11.922,12.1,10.461,10.583,11.296
ENSMUSG00000001376,Vps50,4.127,4.771,3.824,4.423,3.874,3.661,4.409,3.271,3.591,3.644
ENSMUSG00000001380,Hars,23.155,24.006,22.863,28.989,37.809,26.373,45.624,31.689,29.905,27.736
ENSMUSG00000001383,Zmat2,29.986,31.261,30.491,34.167,47.193,40.42,45.871,59.285,47.748,42.705
ENSMUSG00000001403,Ube2c,17.102,9.711,10.634,9.371,19.805,15.79,17.092,18.649,21.614,19.586
ENSMUSG00000001415,Smg5,12.526,11.705,13.093,12.758,10.623,11.896,12.378,13.463,11.844,12.629
ENSMUSG00000001416,Cct3,39.397,41.214,35.761,52.194,56.103,40.114,61.744,48.037,49.527,48.16
ENSMUSG00000001418,Glmp,9.57,9.579,10.124,11.011,12.62,12.102,8.607,14.973,12.188,11.898
ENSMUSG00000001419,Mef2d,15.549,10.286,13.641,11.857,11.312,11.843,10.192,6.892,8.623,9.321
ENSMUSG00000001420,Tmem79,0.33,0.585,0.552,0.474,0.395,0.465,0.402,0.625,0.507,0.397
ENSMUSG00000001424,Snd1,15.546,11.46,14.423,13.112,17.296,12.835,12.97,13.163,13.208,14.199
ENSMUSG00000001435,Col18a1,9.354,11.954,9.622,8.215,12.36,8.405,11.158,7.529,9.31,9.962
ENSMUSG00000001436,Slc19a1,3.47,3.115,3.651,3.421,4.223,3.884,3.305,4.137,3.473,3.83
ENSMUSG00000001440,Kpnb1,46.027,39.278,40.993,41.106,36.535,35.844,47.295,31.027,31.232,34.51
ENSMUSG00000001441,Npepps,11.733,12.114,12.428,12.961,15.943,13.185,14.596,11.84,14.378,13.459
ENSMUSG00000001444,Tbx21,0.117,0.13,0.157,0.063,0.132,0.08,0.087,0.146,0.125,0.112
ENSMUSG00000001445,Mrpl10,18.969,17.606,18.657,19.967,24.143,21.775,17.337,22.258,22.913,25.472
ENSMUSG00000001467,Cyp51,13.939,30.209,21.377,25.298,46.151,21.006,93.082,13.179,23.723,27.503
ENSMUSG00000001472,Tcf25,39.922,35.7,40.166,39.966,41.228,40.507,45.462,47.674,35.849,37.961
ENSMUSG00000001473,Tubb6,37.188,40.48,26.03,65.746,70.104,51.129,144.449,31.95,67.507,55.447
ENSMUSG00000001482,Def8,6.166,6.059,6.46,6.967,6.72,6.45,5.685,6.714,6.727,7.771
ENSMUSG00000001493,Meox1,1.237,1.583,1.502,1.239,1.436,1.287,1.323,1.247,2.163,1.45
ENSMUSG00000001494,Sost,0.061,0.078,0.063,0.057,0.119,0.019,0.105,0.11,0.056,0.097
ENSMUSG00000001497,Pax9,0,0.008,0.017,0,0.008,0.008,0.026,0.009,0,0.008
ENSMUSG00000001504,Irx2,0,0,0,0,0.025,0.012,0,0,0,0.012
