,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000106956,Gm19617,1.898,2.5,2.823,2.304,3.197,3.361,3.801,1.626,3.659,2.848
ENSMUSG00000106961,Gm43128,0.18,0.2,0.134,0.024,0.051,0.074,0.027,0.197,0.048,0.074
ENSMUSG00000106962,Gm43633,0.34,0.296,0.336,0.118,0,0.051,0.074,0.215,0.067,0.051
ENSMUSG00000106963,Gm43297,0.112,0.306,0.094,0.149,0.111,0.236,0.187,0.196,0.084,0.086
ENSMUSG00000106964,Nkain1,2.021,2.759,2.104,1.973,1.784,1.633,2.098,2.428,1.817,1.668
ENSMUSG00000106966,Pum1,3.092,2.105,2.627,2.028,0.758,1.306,0.967,1.864,0.615,0.909
ENSMUSG00000106972,Majin,0.051,0.025,0.053,0,0.075,0.073,0.053,0.166,0,0.17
ENSMUSG00000106978,N4bp2os,1.503,1.412,1.532,0.936,1.87,1.327,1.76,1.203,1.399,1.512
ENSMUSG00000106980,Gm43690,1.099,0.914,1.798,0.741,0.154,1.497,0.489,0.171,0.584,0.899
ENSMUSG00000106981,Gm45495,1.203,1.24,1.688,1.577,2.003,1.288,1.173,1.982,1.486,1.548
ENSMUSG00000106987,Gm42575,0.025,0,0.026,0.024,0.074,0.024,0,0,0.023,0.024
ENSMUSG00000106988,Tsg101-ps,18.127,18.67,17.724,15.399,16.693,17.596,18.898,15.059,19.332,17.417
ENSMUSG00000106989,Gm5989,0.161,0.059,0.126,0.038,0.198,0.058,0.334,0,0,0.173
ENSMUSG00000106990,Gm42547,2.21,2.017,2.495,2.543,1.253,1.877,1.324,0.743,1.218,1.396
ENSMUSG00000106991,Gm43399,0.035,0.051,0.018,0,0,0.05,0.018,0.096,0.065,0.05
ENSMUSG00000106992,Gm43167,0.156,0.177,0.352,0.172,0.485,0.422,0.486,0.255,0.363,0.099
ENSMUSG00000106993,Gm43417,0.096,0.093,0.225,0.182,0.079,0.122,0.175,0.21,0.216,0.138
ENSMUSG00000106994,Gm10829,0.098,0.583,0.335,0.633,0.233,0.267,0.073,0.091,0.481,0.667
ENSMUSG00000107000,Gm43481,2.956,2.748,3.469,2.373,0.592,1.399,0.496,0.955,0.466,0.804
ENSMUSG00000107002,0610012G03Rik,11.528,11.863,12.154,17.052,19.337,17.085,18.392,24.198,20.763,17.772
ENSMUSG00000107006,Gm43105,0,0.53,0.189,0.344,0.179,0.087,0.283,0.198,0.339,0
ENSMUSG00000107007,Slc25a32,3.969,4.142,4.089,4.137,2.814,2.583,4.137,2.937,2.758,2.573
ENSMUSG00000107008,Gm2762,0.046,0.089,0.04,0.014,0.022,0.022,0.048,0.05,0.035,0.058
ENSMUSG00000107009,6720475M21Rik,0.03,0.029,0.047,0.1,0.089,0.043,0.11,0.083,0.085,0.087
ENSMUSG00000107017,Gm43196,0.494,0.594,0.987,0.727,0.466,0.848,0.308,1.206,0.478,0.736
ENSMUSG00000107018,Gm43694,1.642,2.028,1.671,0.881,1.577,1.744,2.092,2.034,2.883,2.459
ENSMUSG00000107019,Gm43682,0.659,0.873,0.582,0.679,0.648,0.667,0.747,0.436,0.614,0.515
ENSMUSG00000107020,Gm6051,15.182,16.003,10.621,18.481,19,15.724,19.214,15.262,18.107,15.067
ENSMUSG00000107023,Gm42715,0.154,0.175,0.177,0.133,0.161,0.15,0.085,0.086,0.146,0.125
ENSMUSG00000107026,Gm7504,0,0.478,0.103,0.186,0.774,0.376,0.307,0.322,0.458,0.658
ENSMUSG00000107029,Gm43123,0.06,0.082,0.038,0,0.012,0.057,0.537,0.026,0.022,0.011
ENSMUSG00000107032,Gm44942,0.403,0.059,0.294,0.019,0.337,0.077,0.586,0.022,0.019,0.327
ENSMUSG00000107035,Ybx1-ps2,25.521,15.457,23.849,28.673,97.581,25.174,101.568,16.508,27.208,23.21
ENSMUSG00000107037,Gm29793,0.182,0,0.378,0.343,0.446,0.866,0.094,0.495,0.169,0.26
ENSMUSG00000107039,Ehd1,9.105,7.985,9.575,9.173,14.685,10.06,18.687,12.178,12.388,10.806
ENSMUSG00000107041,Gm42735,0.101,0.148,0.264,0.168,0.125,0.145,0.079,0.277,0.094,0.121
ENSMUSG00000107050,C030017G13Rik,0.09,0.156,0.037,0.085,0.018,0,0.093,0.02,0.033,0.017
ENSMUSG00000107054,C730045M19Rik,0.095,0.154,0.331,0.45,0.125,0.363,0.297,0.45,0.236,0.152
ENSMUSG00000107055,Nckipsd,1.166,1.523,1.811,1.118,1.498,1.539,1.657,1.77,1.511,1.516
ENSMUSG00000107060,Gm42810,0,0.108,0.029,0.079,0.055,0.04,0.043,0.015,0.052,0
ENSMUSG00000107061,Gm19590,0.175,0,0,0.066,0.034,0.133,0.145,0.19,0.065,0.067
ENSMUSG00000107066,Gm4482,20.875,11.688,19.979,11.689,15.317,10.465,13.147,15.708,12.57,13.92
ENSMUSG00000107070,Gm35191,0.017,0.115,0.018,0.032,0.033,0.048,0.053,0.055,0.063,0.097
ENSMUSG00000107076,Gm43480,1.305,1.656,2.404,1.042,1.282,1.244,1.042,2.517,0.654,1.246
ENSMUSG00000107080,,0.512,1.338,1.189,1.785,2.671,0.714,1.8,0.773,1.796,2.107
ENSMUSG00000107083,Gm43313,0.28,0.381,0.447,0.353,0.11,0.178,0.369,0.244,0.174,0.232
ENSMUSG00000107084,Gm43269,0.403,0.313,0.336,0.152,0.554,0.307,1.088,1.318,0.825,0.462
ENSMUSG00000107086,Gm43808,0.445,0.51,0.442,0.344,0.298,0.444,0.126,0.683,0.226,0.386
ENSMUSG00000107091,Gm43343,0.238,0.295,0.429,0.368,0.767,0.517,0.36,0.615,0.424,0.497
ENSMUSG00000107092,Gm7993,26.456,20.908,24.03,30.253,63.917,29.721,123.955,24.804,34.763,33.596
ENSMUSG00000107094,Gm43294,0.252,0.065,0.052,0.063,0.033,0.016,0.035,0.256,0.031,0
ENSMUSG00000107096,Gm43597,1.356,1.193,1.336,1.126,0.977,0.974,0.891,0.572,0.749,0.863
ENSMUSG00000107101,,0,0.079,0,0,0.24,0,0,0,0,0.078
ENSMUSG00000107103,Gm43164,0.059,0.095,0.102,0.074,0.058,0.019,0.041,0.086,0,0.056
ENSMUSG00000107104,,0.133,0.135,0.123,0.157,0.238,0.098,0.173,0.185,0.124,0.141
ENSMUSG00000107112,Gm43451,0.832,0.538,0.635,0.262,0.817,0.529,0.691,0.846,1.135,0.9
ENSMUSG00000107116,Gm43274,0.025,0.032,0.061,0.063,0.049,0.008,0.052,0.155,0,0.008
ENSMUSG00000107118,Gm42986,0.358,0.239,0.27,0.116,0.012,0.012,0.115,0.04,0,0
ENSMUSG00000107119,,0.886,0.734,0.945,1.387,0.934,0.803,1.682,0.495,0.925,1.114
ENSMUSG00000107120,Gm43059,1.023,1.139,1.315,0.966,0.857,0.459,0.562,1.41,0.476,0.718
