,gene,no_rows,n
454,Zm00001d038201,70,70
484,Zm00001d040787,70,70
375,Zm00001d032506,69,69
496,Zm00001d041649,69,69
8,Zm00001d000829,68,68
7,Zm00001d000825,67,67
111,Zm00001d008599,67,67
523,Zm00001d043951,67,67
15,Zm00001d000982,66,66
569,Zm00001d048094,66,66
607,Zm00001d051709,66,66
90,Zm00001d007420,65,65
147,Zm00001d011800,64,64
558,Zm00001d046986,64,64
575,Zm00001d048698,64,64
313,Zm00001d027129,63,63
327,Zm00001d027789,63,63
4,Zm00001d000673,62,62
61,Zm00001d004603,62,62
91,Zm00001d007450,62,62
371,Zm00001d032299,62,62
424,Zm00001d035495,62,62
33,Zm00001d001841,61,61
250,Zm00001d022667,61,61
392,Zm00001d034542,61,61
11,Zm00001d000853,60,60
58,Zm00001d004534,60,60
159,Zm00001d012908,60,60
300,Zm00001d026325,60,60
453,Zm00001d038163,60,60
99,Zm00001d008053,59,59
132,Zm00001d010295,59,59
165,Zm00001d013175,59,59
289,Zm00001d025140,59,59
547,Zm00001d046202,59,59
230,Zm00001d020227,58,58
74,Zm00001d006032,57,57
199,Zm00001d016318,57,57
331,Zm00001d028077,57,57
344,Zm00001d029551,57,57
175,Zm00001d014070,56,56
187,Zm00001d015538,56,56
349,Zm00001d029794,56,56
363,Zm00001d030936,56,56
638,zma-MIR167g,56,56
34,Zm00001d001990,55,55
232,Zm00001d020329,55,55
234,Zm00001d020504,55,55
272,Zm00001d024029,55,55
341,Zm00001d029101,55,55
495,Zm00001d041567,55,55
568,Zm00001d047865,55,55
278,Zm00001d024475,54,54
381,Zm00001d033377,54,54
410,Zm00001d035378,54,54
3,Zm00001d000662,53,53
103,Zm00001d008194,53,53
114,Zm00001d008844,53,53
323,Zm00001d027457,53,53
507,Zm00001d043115,53,53
172,Zm00001d013766,52,52
374,Zm00001d032498,52,52
487,Zm00001d041291,52,52
502,Zm00001d042693,52,52
35,Zm00001d002021,50,50
265,Zm00001d023562,50,50
268,Zm00001d023759,50,50
277,Zm00001d024361,50,50
446,Zm00001d037407,50,50
542,Zm00001d045543,50,50
577,Zm00001d048722,50,50
191,Zm00001d015910,49,49
264,Zm00001d023552,49,49
624,Zm00001d053283,49,49
108,Zm00001d008451,48,48
376,Zm00001d032562,47,47
386,Zm00001d033883,47,47
489,Zm00001d041331,47,47
492,Zm00001d041436,47,47
13,Zm00001d000909,46,46
94,Zm00001d007657,46,46
182,Zm00001d015019,46,46
243,Zm00001d021601,46,46
548,Zm00001d046274,46,46
564,Zm00001d047387,46,46
627,Zm00001d053538,46,46
517,Zm00001d043448,45,45
186,Zm00001d015518,44,44
447,Zm00001d037428,44,44
468,Zm00001d039827,44,44
68,Zm00001d005160,43,43
440,Zm00001d036769,43,43
593,Zm00001d050568,43,43
635,zma-MIR159f,43,43
16,Zm00001d001036,42,42
433,Zm00001d036537,42,42
448,Zm00001d037647,42,42
528,Zm00001d044569,42,42
541,Zm00001d045498,42,42
600,Zm00001d051258,42,42
152,Zm00001d012471,41,41
158,Zm00001d012902,41,41
173,Zm00001d013771,41,41
324,Zm00001d027681,41,41
532,Zm00001d044875,41,41
57,Zm00001d004531,40,40
63,Zm00001d004733,40,40
77,Zm00001d006223,40,40
185,Zm00001d015481,40,40
297,Zm00001d025842,40,40
500,Zm00001d042150,40,40
555,Zm00001d046888,40,40
596,Zm00001d050830,40,40
46,Zm00001d003447,39,39
47,Zm00001d003639,39,39
367,Zm00001d031673,39,39
622,Zm00001d053241,39,39
473,Zm00001d040012,38,38
499,Zm00001d042115,38,38
551,Zm00001d046614,38,38
340,Zm00001d029002,37,37
490,Zm00001d041382,37,37
390,Zm00001d034326,36,36
138,Zm00001d010726,35,35
153,Zm00001d012637,35,35
171,Zm00001d013678,35,35
343,Zm00001d029510,35,35
434,Zm00001d036574,35,35
549,Zm00001d046397,35,35
606,Zm00001d051655,35,35
302,Zm00001d026498,34,34
478,Zm00001d040457,34,34
611,Zm00001d052201,34,34
610,Zm00001d052097,33,33
112,Zm00001d008722,32,32
115,Zm00001d008856,32,32
170,Zm00001d013553,32,32
330,Zm00001d027899,32,32
345,Zm00001d029578,32,32
437,Zm00001d036676,32,32
472,Zm00001d039997,32,32
556,Zm00001d046896,32,32
585,Zm00001d049561,32,32
79,Zm00001d006715,31,31
83,Zm00001d006940,31,31
85,Zm00001d007245,31,31
384,Zm00001d033662,31,31
397,Zm00001d034753,31,31
562,Zm00001d047247,31,31
599,Zm00001d051167,31,31
614,Zm00001d052609,31,31
42,Zm00001d002700,30,30
73,Zm00001d005878,30,30
107,Zm00001d008355,30,30
254,Zm00001d022760,30,30
578,Zm00001d048765,30,30
39,Zm00001d002408,29,29
228,Zm00001d019861,29,29
299,Zm00001d026308,29,29
366,Zm00001d031546,29,29
55,Zm00001d004388,28,28
136,Zm00001d010653,28,28
251,Zm00001d022707,28,28
273,Zm00001d024042,28,28
274,Zm00001d024127,28,28
439,Zm00001d036706,28,28
110,Zm00001d008523,27,27
456,Zm00001d038401,27,27
237,Zm00001d020883,26,26
319,Zm00001d027191,26,26
383,Zm00001d033530,26,26
430,Zm00001d036218,26,26
508,Zm00001d043141,26,26
512,Zm00001d043338,26,26
122,Zm00001d009082,25,25
249,Zm00001d022472,25,25
483,Zm00001d040785,25,25
27,Zm00001d001563,24,24
113,Zm00001d008843,24,24
205,Zm00001d017086,24,24
246,Zm00001d021876,24,24
263,Zm00001d023387,24,24
294,Zm00001d025367,24,24
301,Zm00001d026390,24,24
379,Zm00001d032839,24,24
442,Zm00001d036898,24,24
459,Zm00001d038614,24,24
604,Zm00001d051596,24,24
260,Zm00001d023029,23,23
303,Zm00001d026509,23,23
357,Zm00001d030748,23,23
539,Zm00001d045460,23,23
